make,model_principal,alias
Bmw,M,m550i xdrive
Jaguar,F-Type,f-type s coupe
Ferrari,Gtc4Lusso,gtc4lusso
Kia,Sportage,sportage awd
Volkswagen,Atlas,atlas 4motion
Mercedes-Benz,E-Class,e400 coupe
Toyota,Camry,camry hybrid le
Mercedes-Benz,C-Class,c350e
Mercedes-Benz,Slc-Class,slc300
Cadillac,Ct6,ct6
Gmc,Sierra,sierra k15 4wd
Dodge,Challenger,challenger gt
Mercedes-Benz,Gls-Class,gls550 4matic
Chevrolet,G10/20 Van,g10/20 sport van 2wd
Dodge,B350 Wagon,b350 wagon 2wd
Lexus,Gx,gx 460
Rolls-Royce,Ghost,ghost
Ford,F150,f150 pickup 4wd ffv
Mercedes-Benz,Metris Cargo,metris (cargo van)
Nissan,Nv200 Nyc Taxi,nv200 nyc taxi
Lincoln,Mkc,mkc awd
Infiniti,Q60,q60 red sport awd
Infiniti,Q60,q60 awd
Buick,Regal,regal awd
Porsche,Cayenne,cayenne platinum
Lincoln,Mkx,mkx awd
Honda,Civic,civic si 4dr
Lexus,Nx,nx 300
Lexus,Nx,nx 300 awd
Ford,F150,f150 4wd ffv base payload lt
Nissan,Maxima,maxima
Lexus,Gs,gs f
Toyota,Sienna,sienna awd
Porsche,Cayenne,cayenne turbo s
Nissan,Rogue,rogue sport fwd
Honda,Clarity,clarity plug-in hybrid
Lexus,Rc,rc 350 awd
Lexus,Rx,rx 450h awd
Ram,1500,1500 2wd
Dodge,Caravan/Grand Caravan/Ram Van,caravan/grand caravan/ram van 2wd
Lexus,Ls,ls 500 awd
Land Rover,Range Rover,range rover lwb sva
Buick,Envision,envision awd
Porsche,Panamera,panamera 4s st
Porsche,Panamera,panamera 4 e-hybrid st
Bmw,4 Series,430i gran coupe
Mini,Clubman,cooper s clubman all4
Genesis,G90,g90 rwd
Jaguar,F-Type,f-type convertible
Genesis,G80,g80 rwd
Porsche,911,911 targa 4 gts
Hyundai,Santa Fe,santa fe xl ultimate awd
Porsche,911,911 carrera 4
Ford,F150,f150 4wd base payload lt tire
Gmc,Sierra,sierra ltd k15 4wd
Hyundai,Kona,kona fwd
Lexus,Nx,nx 300 awd f sport
Chevrolet,Suburban,suburban k1500 4wd
Toyota,Corolla,corolla hatchback xse
Ram,1500,1500 classic 2wd
Dodge,Colt,colt vista 4wd
Bmw,M,m240i xdrive convertible
Bmw,3 Series,330i xdrive sports wagon
Mercedes-Benz,Glc-Class,glc300 4matic coupe
Chevrolet,Cruze,cruze premier hatchback
Gmc,Suburban,v15 suburban 4wd
Mercedes-Benz,Sl-Class,sl450
Lexus,Lc,lc 500h
Nissan,Altima,altima sr/platinum
Lincoln,Continental,continental  fwd
Mercedes-Benz,Metris Passenger,metris (passenger van)
Jeep,Grand Cherokee,grand cherokee trackhawk 4wd
Ford,Expedition,expedition 4wd
Subaru,Wagon,wagon 4wd
Mercedes-Benz,C-Class,amg c63 s
Chevrolet,Silverado,silverado k10 cab chassis 4wd
Hyundai,Sonata,sonata plug-in hybrid
Tesla,Model 3,model 3 mid range
Audi,Tts Coupe,tts coupe
Toyota,Corolla,corolla xse
Hyundai,Elantra,elantra se
Ferrari,328 Gts/Gtb,328 gts/gtb
Bmw,4 Series,440i xdrive coupe
Bmw,M,m4 coupe
Hyundai,Veloster,veloster
Tesla,Model S,model s performance (19in wheels)
Ford,Transit Connect,transit connect usps
Lincoln,Aviator,aviator awd
Toyota,Prius Prime,prius prime
Volvo,V90,v90 awd
Mercedes-Benz,Amg Gt,amg gt roadster
Buick,Regal,regal
Mitsubishi,Eclipse Cross,eclipse cross es 2wd
Subaru,Outback,outback awd
Chevrolet,Suburban,suburban c1500 2wd
Chevrolet,Colorado,colorado 2wd
Ford,Ecosport,ecosport awd
Land Rover,Range Rover,range rover lwb
Acura,Mdx,mdx awd a-spec
Mercedes-Benz,Amg Gt,amg gt 53 4matic plus
Porsche,928,928 s4
Bmw,M,m850i xdrive gran coupe
Jeep,Wrangler,wrangler unlimited 4wd
Bmw,X7,x7 m50i
Nissan,Versa,versa
Chevrolet,Silverado,silverado 2wd
Chevrolet,Silverado,silverado 4wd
Gmc,Sierra,sierra 4wd
Mazda,3,3 4-door 2wd
Mercedes-Benz,C-Class,c300 4matic coupe
Lexus,Es,es 350 f sport
Audi,80/90,80/90 quattro
Ford,Mustang,mustang ho coupe
Chevrolet,Blazer,blazer fwd
Rolls-Royce,Wraith,wraith
Toyota,Camry,camry hybrid xle/se
Rolls-Royce,Ghost,ghost ewb
Hyundai,Kona,kona electric
Mercedes-Benz,Amg Gt,amg gt 63 s 4matic plus
Honda,Civic,civic 2dr
Chevrolet,Spectrum,spectrum
Honda,Hr-V,hr-v fwd
Lexus,Ux,ux 200
Tesla,Model 3,model 3 long range
Kia,Niro,niro
Toyota,Highlander,highlander
Porsche,911,911 carrera s
Cadillac,Ct5,ct5 awd
Jaguar,F-Type,f-type s awd coupe
Toyota,Camry,camry awd xle/xse
Subaru,Ascent,ascent limited/touring
Porsche,718,718 spyder
Bugatti,Divo,divo
Land Rover,Defender,defender 90
Volvo,S60,s60 fwd
Subaru,Impreza,impreza sport 4-door
Ford,Escape,escape fwd phev
Lamborghini,Huracan,huracan spyder 2wd
Porsche,Cayenne,cayenne turbo s e-hybrid
Rolls-Royce,Dawn,dawn black badge
Bmw,X3,x3 m40i
Toyota,Rav4,rav4 awd le
Chevrolet,Silverado,silverado cab chassis 4wd
Chevrolet,Traverse,traverse fwd
Kia,Sorento,sorento awd
Ford,Explorer,explorer awd
Mazda,3,3 5-door 4wd
Porsche,Cayenne,cayenne s coupe
Tesla,Model Y,model y long range awd
Bentley,Continental,continental gt
Mercedes-Benz,Amg Gt,amg gt coupe
Yugo,Gv/Gvx,gv
Chevrolet,Suburban,suburban 4wd
Bmw,I3,i3s
Ford,Mustang Mach-E,mustang mach-e rwd california route 1
Porsche,Taycan,taycan 4s perf battery
Buick,Skyhawk,skyhawk
Lincoln,Nautilus,nautilus fwd
Mitsubishi,Outlander,outlander phev
Bmw,5 Series,530e
Nissan,Rogue,rogue fwd
Bmw,X2,x2 m35i
Chevrolet,Celebrity,celebrity
Porsche,Taycan,taycan perf battery
Bmw,X2,x2 sdrive28i
Mini,Countryman,cooper s countryman
Mini,John Cooper Works,john cooper works clubman all4
Subaru,Outback,outback wilderness awd
Kia,K5,k5
Porsche,Panamera,panamera turbo s e-hybrid st
Suzuki,Sa 310,sa310
Ford,Bronco,bronco black diamond 4wd
Volkswagen,Id.4,id.4 pro
Jaguar,F-Type,f-type r awd convertible
Cadillac,Xt5,xt5 hearse fwd
Lamborghini,Huracan,huracan spyder
Hyundai,Ioniq,ioniq
Audi,A7,a7 tfsi e quattro
Volvo,V90,v90cc b6 awd
Volvo,Xc90,xc90 t5 awd
Volvo,Xc90,xc90 t6 awd
Maserati,Ghibli,ghibli modena awd
Toyota,Camry,camry xle/xse
Toyota,Camry,camry hybrid se/xle/xse
Ford,F150,f150 raptor 37 4wd
Lexus,Ux,ux 250h awd
Lexus,Rc,rc 300
Honda,Civic,civic 5dr
Mercedes-Benz,560,560sec
Porsche,911,911 gt3 touring
Gmc,Yukon,yukon xl 4wd
Mclaren Automotive,720S Spider,720s spider
Ford,Edge,edge awd
Acura,Rdx,rdx awd
Audi,Rs E-Tron Gt,rs e-tron gt
Porsche,Taycan,taycan turbo s cross turismo
Ford,Escape,escape awd hev
Porsche,Panamera,panamera turbo s e-hybrid/exec/st
Ford,Bronco,bronco sasquatch 4wd
Jeep,Wrangler,wrangler 4dr 4wd
Land Rover,Range Rover,range rover velar p400 mhev
Infiniti,Qx50,qx50
Tesla,Model X,model x plaid (22 inch wheels)
Mercedes-Benz,Eqs,eqs 580 4matic
Volkswagen,Arteon,arteon
Bmw,I4,i4 m50 gran coupe (20 inch wheels)
Gmc,Sierra,sierra mud terrain tires 4wd
Volvo,V60,v60 t8 awd recharge ext. range
Ford,Mustang,shelby gt500 mustang
Genesis,G80,g80 awd
Ford,F-150 Lightning,f-150 lightning platinum 4wd
Bmw,Ix,ix m60 (21 inch wheels)
Honda,Hr-V,hr-v awd
Cadillac,Xt5,xt5 limo awd
Cadillac,Xt5,xt5 awd
Alfa Romeo,Stelvio,stelvio
Infiniti,Qx55,qx55 awd
Bmw,3 Series,m340i xdrive sedan
Bmw,5 Series,m550i xdrive sedan
Mercedes-Benz,Gle-Class,amg gle63 s 4matic plus coupe
Lexus,Ux,ux 250h
Toyota,Bz4X,bz4x awd
Gmc,Sierra,sierra 2wd
Land Rover,Range Rover,new range rover lwb
Mazda,626/Mx-6,626/mx-6
Porsche,718,718 cayman gts
Porsche,Taycan,taycan perf battery plus
Lexus,Ls,ls 500h awd
Chrysler,New Yorker,new yorker
Bentley,Flying Spur,flying spur hybrid
Jeep,Wrangler,wrangler 4dr 4xe
Ram,1500,1500 classic 4wd
Mercedes-Benz,Eqs,amg eqs 4matic plus
Mercedes-Benz,Sl-Class,amg sl55 4matic plus
Nissan,Frontier,frontier 4wd
Bmw,8 Series,840i xdrive coupe
Mini,John Cooper Works,jcw countryman all4
Genesis,Gv80,gv80 awd
Bmw,4 Series,m440i xdrive convertible
Acura,Mdx,mdx fwd
Lamborghini,Huracan,huracan sterrato
Dodge,Colt,colt wagon
Jaguar,F-Pace,f-pace p400 mhev
Cadillac,Ct5,ct5
Hyundai,Kona,kona awd
Oldsmobile,Firenza,firenza cruiser
Porsche,718,718 boxster gts
Porsche,718,718 gt4 rs
Porsche,Macan,macan t
Audi,5000,5000 cs quattro wagon
Volkswagen,Tiguan,tiguan 4motion
Land Rover,Range Rover,range rover mhev
Subaru,Crosstrek,crosstrek hybrid awd
Toyota,Prius,prius awd
Land Rover,Range Rover,range rover p400 mhev
Jeep,Grand Cherokee,grand cherokee 4xe
Dodge,Aries,aries wagon
Toyota,Corolla,corolla hatchback
Toyota,Crown,crown awd
Hyundai,Sonata,sonata awd
Chevrolet,Suburban,suburban 2wd
Gmc,Yukon,yukon xl 2wd
Porsche,Taycan,taycan gts
Rolls-Royce,Spectre,spectre (22 inch wheels)
Volvo,Xc90,xc90 t8 awd recharge
Mercedes-Benz,E-Class,e450 4matic
Toyota,Tacoma,tacoma 4wd mt
Ford,F150,f150 raptor 4wd
Ford,Escape,escape fwd
Lincoln,Corsair,corsair awd
Bentley,Bentayga,bentayga ewb
Chevrolet,Trailblazer,trailblazer fwd
Bmw,X7,x7 xdrive40i
Acura,Zdx,zdx awd
Chevrolet,Equinox,equinox ev fwd
Ford,Courier,courier
Rivian,R1S,r1s performance dual large (21in)
Tesla,Model X,model x plaid (20in wheels)
Aston Martin,Vantage,vantage
Mazda,B Pickup,b2200/b2600
Toyota,Truck/T100,truck 2wd
Mercedes-Benz,500,500se
Chevrolet,C20 Pickup,c20 pickup 2wd
Gmc,Pickup,c15 pickup 2wd
Gmc,Pickup,k25 pickup 4wd
Gmc,Pickup,t15 (s15) pickup 4wd
Oldsmobile,Toronado,toronado
Nissan,Van,van (cargo)
Ford,E150 Econoline,e150 econoline 2wd
Gmc,Rally,g35 rally 2wd
Toyota,Van,van 2wd (passenger)
Plymouth,Reliant,reliant
Evans Automobiles,Series 1,series i
Toyota,Mr2,mr2
Audi,4000,4000s
Mitsubishi,Starion,starion
Ford,Laser,laser
Pontiac,Sunbird,sunbird
Volvo,240,240 dl/240 gl
Audi,200,200
Bmw,7 Series,735i
Pontiac,Grand Prix,grand prix
Nissan,Sentra,sentra wagon
Pontiac,Safari,safari wagon
Jeep,Comanche Pickup,comanche pickup 4wd
Gmc,Safari,safari 2wd (cargo)
Nissan,Pathfinder,pathfinder 2wd
Toyota,Cab Chassis,cab/chassis 2wd
Chevrolet,Sprint,turbo sprint
Geo,Storm,storm
Hyundai,Excel,excel
Suzuki,Swift,swift gt
Buick,Skylark,skylark
Pontiac,Lemans,lemans
Subaru,Loyale,loyale 4wd turbo
Cadillac,Seville,seville
Buick,Lesabre/Electra Wagon,lesabre/electra wagon
Mazda,929,929
Mercury,Grand Marquis,grand marquis wagon
Chevrolet,Caprice,caprice
Chevrolet,Cavalier,cavalier convertible
Subaru,Loyale,loyale wagon
Volkswagen,Fox,fox wagon
Gmc,S15 Pickup,s15 pickup 2wd
Chevrolet,K2500 Pickup,k2500 pickup 4wd
Gmc,K2500 Sierra,k2500 sierra 4wd
Isuzu,Pickup,pickup 4wd
Chevrolet,G10/20 Van,g10/20 van 2wd
Dodge,B350 Van,b350 van 2wd
Volkswagen,Vanagon,vanagon/camper 2wd
Chevrolet,Blazer,blazer v1500 4wd
Lotus,Esprit,esprit turbo
Mercedes-Benz,300,300sl
Daihatsu,Charade,charade
Subaru,Justy,justy
Oldsmobile,Cutlass Calais,cutlass calais
Peugeot,405,405 sedan
Subaru,Legacy/Outback,legacy
Dodge,Spirit,spirit
Bmw,7 Series,735i luxury
Gmc,C2500 Sierra,c2500 sierra 2wd
Gmc,Sonoma,sonoma 4wd
Gmc,Jimmy,jimmy sonoma 2wd
Mazda,Navajo,navajo
Ferrari,F40,f40
Mazda,Mx-5 Miata,mx-5 miata
Porsche,968,968
Chrysler,Lebaron,lebaron
Chevrolet,Lumina,lumina
Ford,Ltd Crown Victoria,ltd crown victoria
Gmc,Safari,safari awd (cargo)
Oldsmobile,Silhouette,silhouette 2wd
Chevrolet,Blazer,blazer 1500 4wd
Geo,Metro,metro lsi convertible
Volkswagen,Cabriolet,cabriolet
Honda,Civic,civic hb vx
Ford,Fusion,fusion hybrid fwd
Kia,Sorento,sorento fwd
Acura,Nsx,nsx hybrid
Toyota,Prius V,prius v
Porsche,911,911 targa 4s
Gmc,Acadia,acadia limited fwd
Kia,K900,k900
Volvo,V60,v60 awd
Ford,Explorer,explorer fwd
Renault,Alliance/Encore,alliance/encore
Mercedes-Benz,Sl-Class,amg sl63
Mini,Cooper,cooper s hardtop 2 door
Audi,Q3,q3
Bmw,4 Series,430i xdrive convertible
Toyota,Yaris,yaris ia
Bmw,X1,x1 xdrive28i
Dodge,W250 Pickup,w250 pickup 4wd
Mercedes-Benz,Gla-Class,gla250
Mercedes-Benz,C-Class,c300 4matic convertible
Mercedes-Benz,C-Class,c300 convertible
Audi,A3,a3 e-tron
Mercedes-Benz,C-Class,amg c43 4matic coupe
Roush Performance,F150,f150 pickup 2wd
Porsche,Panamera,panamera 4s
Porsche,Panamera,panamera 4s executive
Bmw,4 Series,430i convertible
Bmw,6 Series,640i xdrive gran coupe
Jaguar,Xe,xe
Toyota,C-Hr,c-hr
Jeep,Compass,compass fwd
Volkswagen,Beetle,beetle dune convertible
Cadillac,Ats,ats awd
Cadillac,Xt5,xt5
Mercedes-Benz,Gle-Class,amg gle43 4matic
Audi,Rs 3,rs 3
Dodge,Charger,charger srt
Fiat,500 L,500 l
Bmw,2 Series,m240i convertible
Mini,Cooper,cooper hardtop 2 door
Toyota,Van,cargo van 4wd
Mazda,Cx-9,cx-9 2wd
Ford,F150,f150 2wd base payload lt tire
Nissan,Van,van (passenger)
Porsche,Boxster,boxster s
Lincoln,Continental,continental  awd
Bmw,6 Series,640i xdrive gran turismo
Bmw,X6,x6 xdrive35i
Buick,Enclave,enclave awd
Fiat,124 Spider,124 spider
Porsche,911,911 turbo s exclusive
Kia,Niro,niro fe
Ford,Ecosport,ecosport fwd
Porsche,Cayman,cayman gts
Lincoln,Mkt,mkt limo awd
Infiniti,Qx80,qx80 4wd
Mercedes-Benz,G-Class,g550 4x4
Lexus,Ls,ls 500h
Lexus,Ls,ls 500
Volkswagen,Golf/Gti,golf alltrack
Chevrolet,Corvette,corvette zr1
Jeep,Wrangler,new wrangler 4wd
Porsche,911,911 carrera 4 gts cabriolet
Aston Martin,Vantage,vantage v8
Lexus,Rc,rc f
Jaguar,Xe,xe awd
Subaru,Impreza,impreza 4-door
Infiniti,Qx60,qx60 awd
Ford,F150,f150 pickup 4wd xl/xlt
Volvo,S90,s90 awd
Volvo,V90,v90 cc awd
Tesla,Model 3,model 3 long range  awd performance
Kia,Forte,forte fe
Toyota,Tundra,tundra 4wd ffv
Bmw,5 Series,530e xdrive
Land Rover,Range Rover,range rover sva
Toyota,Camry,camry le/se
Nissan,Nv200 Cargo Van,nv200 cargo van
Chevrolet,Cruze,cruze premier
Nissan,Frontier,frontier 2wd ffv
Toyota,Tacoma,tacoma 4wd double cab off-road
Ford,Taurus,taurus fwd ffv
Ford,Fiesta,fiesta fwd
Audi,S4,s4
Bmw,I3,i3
Kia,Niro,niro electric
Roush Performance,Mustang,stage 3 mustang
Fiat,500E,500e
Buick,Reatta,reatta
Cadillac,Allante,allante
Fiat,500,500x awd
Ford,Exp,exp
Jaguar,F-Type,f-type awd coupe
Volvo,Xc40,xc40 fwd
Mitsubishi,Eclipse Cross,eclipse cross es 4wd
Ferrari,812 Superfast,812 superfast
Mercedes-Benz,Cls-Class,cls450 4matic
Mazda,3,3 5-door 2wd
Honda,Pilot,pilot awd
Bmw,X5,x5 m50i
Mercedes-Benz,E-Class,e450 4matic (station wagon)
Jeep,Compass,compass 4wd
Ford,Explorer,explorer hev awd
Lexus,Rx,rx 450h l awd
Mercedes-Benz,Gla-Class,gla250 4matic
Infiniti,Q50,q50
Mercedes-Benz,A-Class,a220 4matic
Land Rover,Evoque,evoque mhev
Ford,Ranger,ranger 2wd
Audi,A5,a5 sportback quattro
Ford,Gt,gt
Kia,Seltos,seltos awd
Porsche,Cayenne,cayenne e-hybrid
Subaru,Crosstrek,crosstrek awd
Kia,Telluride,telluride awd
Ferrari,F8 Tributo,f8 tributo
Mercedes-Benz,190,190d 2.5
Mercedes-Benz,190,190e 2.3
Acura,Rdx,rdx fwd
Mercedes-Benz,190,190e 2.6
Mini,Countryman,cooper countryman all4
Bmw,X6,x6 m50i
Toyota,Avalon,avalon trd
Toyota,Gr Supra,gr supra
Infiniti,Q50,q50 red sport
Ram,Promaster City,promaster city
Land Rover,Range Rover,range rover phev
Mercedes-Benz,E-Class,e450 4matic convertible
Gmc,Terrain,terrain awd
Tesla,Model X,model x long range plus
Kia,Soul,soul electric
Audi,E-Tron,e-tron
Mercedes-Benz,C-Class,amg c63 s convertible
Mercedes-Benz,C-Class,amg c63 convertible
Mercedes-Benz,C-Class,amg c63
Ford,Escape,escape fwd hev
Nissan,Leaf,leaf (40 kw-hr battery pack)
Mitsubishi,Outlander,outlander 2wd
Ford,Transit Connect,transit connect van ffv
Chevrolet,Nova,nova
Cadillac,Xt6,xt6 awd
Cadillac,Ct5,ct5 v
Cadillac,Xt5,xt5 hearse awd
Lamborghini,Huracan,huracan spyder rwd
Acura,Ilx,ilx
Volkswagen,Atlas,atlas cross sport
Rolls-Royce,Phantom,phantom extended
Maserati,Quattroporte,quattroporte gt
Genesis,Gv80,gv80 rwd
Jeep,Wagoneer,wagoneer 2wd
Porsche,911,911 turbo s
Toyota,Avalon,avalon hybrid xle
Ferrari,F8 Spider,f8 spider
Kia,Sorento,sorento hybrid awd
Bugatti,Chiron,chiron super sport
Lexus,Is,is 500
Gmc,Yukon,yukon 2wd
Mclaren Automotive,720S Coupe,720s coupe
Acura,Tlx,tlx type-s perf tire
Gmc,Yukon,yukon 4wd
Volkswagen,Id.4,id.4 awd pro s
Acura,Rdx,rdx awd a-spec
Mercedes-Benz,E-Class,amg e53 4matic plus
Plymouth,Sundance,sundance
Ford,F150,f150 pickup 4wd hev
Chevrolet,Tahoe,tahoe 4wd
Ford,Explorer,explorer platinum hev awd
Mazda,3,3 4-door 4wd
Dodge,Challenger,challenger widebody
Subaru,Sedan,sedan/3door 4wd turbo
Dodge,Durango,durango srt awd
Nissan,Titan,titan 4wd pro4x
Jaguar,F-Type,f-type r awd coupe
Genesis,G70,g70 awd
Audi,Rs,rs 3
Bmw,8 Series,840i gran coupe
Genesis,G90,g90 mhev
Kia,Soul,soul
Mini,Countryman,cooper se countryman all4
Maserati,Levante,levante modena v8
Jaguar,F-Pace,f-pace p340 mhev
Bmw,2 Series,230i xdrive coupe
Bmw,M,m3 sedan
Audi,S5,s5 sportback
Maserati,Grecale,grecale modena
Jeep,Grand Cherokee,grand cherokee l 4wd
Mercedes-Benz,Gle-Class,amg gle63 s 4matic plus
Mercedes-Benz,G-Class,amg g63
Porsche,Cayenne,cayenne s
Nissan,Rogue,rogue awd
Bugatti,Chiron,chiron pur sport
Mercedes-Benz,560,560sel
Kia,Ev6,ev6 standard range rwd
Mercedes-Benz,S-Class,s580 4matic maybach
Mercedes-Benz,E-Class,e450 4matic all-terrain (wagon)
Porsche,911,911 carrera gts
Ford,F150,f150 pickup tremor 4wd ffv
Ford,Bronco,bronco badlands 4wd
Tesla,Model 3,model 3 rwd
Bmw,5 Series,530e sedan
Lucid,Air,air touring awd with 19 inch wheels
Lincoln,Corsair,corsair fwd
Mazda,B Pickup,b2000/b2200 pickup 2wd
Chevrolet,Blazer,t10 (s10) blazer 4wd
Subaru,Sedan,sedan 4wd
Chevrolet,S10 Cab Chassis,s10 cab chassis 2wd
Ford,Ranger,ranger pickup cab chassis 2wd
Pontiac,G5,g5 gt
Chevrolet,Aveo,aveo
Subaru,Sedan,sedan/3 door 4wd
Cadillac,Sts,sts awd
Rolls-Royce,Phantom,phantom
Hyundai,Elantra,elantra touring
Subaru,Impreza/Outback Sport,impreza wagon/outback sport
Saturn,Vue,vue awd
Subaru,Tribeca,tribeca awd
Wallace Environmental,Wetl 500,wetl 500 sec
Bmw,3 Series,325i/325is
Cx Automotive,Cx,cx 25tri
Mercedes-Benz,300,300e
J.K. Motors,Bmw535I,bmw535i
Maserati,Biturbo Spyder,biturbo spyder
Ruf Automobile Gmbh,Ruf,ruf
Mercedes-Benz,C-Class,c300
Mercedes-Benz,Ml-Class,ml350 4matic
Dodge,Nitro,nitro 4wd
Aston Martin,Vantage,v8 vantage
Cadillac,Cts,cts wagon awd
Mercedes-Benz,Glk-Class,glk350
Infiniti,M45,m45x
Ferrari,599 Gtb Fiorano,599 gtb fiorano
Bmw,3 Series,335ci convertible
Nissan,Altima,altima coupe
Bmw,7 Series,760li
Maybach,57,57s
Infiniti,G37,g37 convertible
Chrysler,Conquest,conquest
Hyundai,Tucson,tucson 4wd
Mercedes-Benz,G-Class,g55 amg
Bmw,1 Series,128ci convertible
Bmw,5 Series,550i
Chevrolet,Colorado,colorado crew cab 4wd
Bentley,Continental Supersports,continental supersports
Mercedes-Benz,E-Class,e550 coupe
Volvo,S80,s80 fwd
Chevrolet,Hhr,hhr panel fwd
Kia,Sportage,sportage 4wd
Suzuki,Sx4,sx4 sport/anniversary edition
Suzuki,Kizashi,kizashi s awd
Bmw,7 Series,750li
Ford,E350 Wagon,e350 wagon ffv
Mercury,Mariner,mariner fwd
Ford,Expedition,expedition 4wd ffv
Ford,Escape,escape hybrid 4wd
Toyota,Venza,venza awd
Gmc,Ev1,ev1
Vpg,Mv-1,mv-1 cng
Porsche,911,911 carrera s cabriolet
Porsche,911,911 gts cabriolet
Bmw,1 Series,135i convertible
Bmw,7 Series,740li
Kia,Sedona,sedona
Subaru,Xt,xt 4wd
Cadillac,Escalade,escalade awd
Land Rover,Range Rover,range rover
Saab,9-3,9-3 convertible
Saab,9-4,9-4x awd
Mini,Cooper,cooper s
Bmw,5 Series,5 series
Toyota,Yaris,yaris
Cadillac,Cts,cts awd
Lexus,Rx,rx 350
Honda,Cr-Z,cr-z
Volvo,Xc90,xc90 fwd
Ford,Flex,flex fwd
Ford,Tempo,tempo awd
Subaru,Brz,brz
Ferrari,California,california
Bmw,X5,x5 xdrive35i
Porsche,Panamera,panamera 4
Toyota,Prius,prius plug-in hybrid
Chevrolet,Cruze,cruze eco
Volkswagen,Golf/Gti,golf r
Porsche,Panamera,panamera turbo s
Volkswagen,Touareg,touareg
Hyundai,Genesis,genesis
Mercedes-Benz,R-Class,r350 4matic
Mini,Roadster,cooper roadster
Mini,Roadster,cooper s roadster
Ford,Focus,focus sfe fwd ffv
Bmw,5 Series,535i
Bmw,6 Series,650i coupe xdrive
Nissan,Titan,titan 2wd
Ford,F150,f150 raptor pickup 4wd
Infiniti,Qx56,qx56 4wd
Lexus,Ls,ls 460 l awd
Coda Automotive,Coda,coda
Nissan,Sentra,sentra fe
Jeep,Patriot,patriot 4wd
Hyundai,Sonata,sonata hybrid limited
Volvo,S80,s80 awd
Ford,Taurus,taurus awd
Gmc,Savana Passenger,savana 3500 2wd (passenger)
Porsche,Cayenne,cayenne
Infiniti,Qx60,qx60 fwd
Mercedes-Benz,Slk-Class,slk250
Mercedes-Benz,C-Class,c63 amg
Cadillac,Cts,cts v
Lincoln,Mkz,mkz fwd
Bmw,5 Series,535i xdrive
Scion,Xd,xd
Aston Martin,Vantage,v8 vantage s
Acura,Tl,tl 2wd
Hyundai,Elantra,elantra limited
Kia,Optima,optima hybrid ex
Bmw,1 Series,m1 coupe
Honda,Civic,civic hf
Bmw,X3,x3 sdrive28i
Byd,E6,e6
Mercedes-Benz,S-Class,s63 amg 4matic
Bmw,6 Series,650i convertible
Kia,Forte,forte koup
Chevrolet,Cruze,cruze
Audi,R8 Spyder,r8 spyder
Mitsubishi,Space Wagon,space wagon
Chevrolet,Sonic,sonic
Subaru,Wagon,wagon 4wd turbo
Dodge,Challenger,challenger srt8
Dodge,Dart,dart
Toyota,Rav4,rav4 limited awd
Mclaren Automotive,P1,p1
Mclaren Automotive,650S Coupe,650s coupe
Ford,Taurus,taurus wagon 3.0 a/c
Ford,Expedition,expedition el 2wd
Oldsmobile,Cutlass Cruiser,cutlass cruiser
Mini,Cooper,cooper (3-doors)
Lexus,Nx,nx 200t awd f sport
Ford,Ltd Crown Victoria,ltd crown victoria wagon
Nissan,Murano,murano fwd
Nissan,Rogue,rogue select fwd
Bmw,6 Series,640i convertible
Volkswagen,Golf/Gti,golf sportwagen
Bmw,6 Series,650i gran coupe
Kia,Cadenza,cadenza
Hyundai,Santa Fe,santa fe awd
Mazda,B Pickup,b2000/b2200/b2600
Audi,Sq5,sq5
Chevrolet,Sonic,sonic 5 rs
Chevrolet,Cruze,cruze limited
Mazda,3,3 4-door
Gmc,Canyon,canyon cab chassis 2wd
Gmc,Yukon,yukon k1500 4wd
Bmw,4 Series,435i xdrive convertible
Chevrolet,R10 Pickup,r10 pickup 2wd
Mercedes-Benz,Gle-Class,gle350 d 4matic
Mercedes-Benz,Cla-Class,cla250 4matic
Lexus,Nx,nx 200t
Bmw,X5,x5 xdrive40e
Nissan,Altima,altima sr
Ford,Taurus,taurus awd ffv
Jeep,Grand Cherokee,grand cherokee srt8 4wd
Bmw,3 Series,330e
Mitsubishi,Expo,expo
Volvo,960,960 wagon
Buick,Roadmaster,roadmaster wagon
Gmc,Safari,safari 2wd (passenger)
Chevrolet,Suburban,suburban c10 2wd
Toyota,Truck/T100,truck 4wd/t100 4wd
Gmc,Vandura,vandura g35 2wd
Plymouth,Voyager/Grand Voyager,voyager/grand voyager 4wd
Ferrari,Ferrari 348 Tb/Ts/Spider,ferrari 348 tb/ts/spider
Jaguar,Xjs,xjs convertible
Bmw,8 Series,850csi
Nissan,300Zx,300zx 2x2
Dodge,Stealth,stealth
Pontiac,Firebird/Trans Am/Formula,firebird/formula
Plymouth,Sundance/Duster,sundance/duster
Mercury,Cougar,cougar
Dodge,Ram 2500 Pickup,ram 2500 pickup 4wd
Chevrolet,Astro Cargo,astro awd (cargo)
Geo,Tracker,tracker convertible 2wd
Suzuki,Sidekick,sidekick 2door 4wd
Suzuki,Sidekick,sidekick 4door 4wd
Audi,80/90,90
Audi,80/90,90 quattro
Geo,Prizm,prizm
Federal Coach,85J,85j
Federal Coach,Lincoln Eagle/Windsor,lincoln eagle/windsor
Federal Coach,Lincoln 85J,lincoln 85j
Oldsmobile,Ninety-Eight,ninety-eight
Bmw,5 Series,530i touring
Dodge,B1500/B2500 Van,b1500/b2500 van 2wd
